English Text,Chinese Translation
[Handout: Symbol Rules],
"<p><span class=""fontstyle0""><strong>Symbols </strong></span><span class=""fontstyle2"">follow a set of special rules.</span></p><ul><li><p><span class=""fontstyle2"">A creature may </span><span class=""fontstyle0""><strong>only bear one symbol at a time</strong> </span><span class=""fontstyle2"">— if they receive a new </span><span class=""fontstyle0""><strong>symbol</strong></span><span class=""fontstyle2"">, regardless of source, any previous </span><span class=""fontstyle0"">symbol </span><span class=""fontstyle2"">is destroyed.</span></p></li><li><p><strong>Symbols </strong><span class=""fontstyle2"">and their effects have unlimited durations until destroyed.</span></p></li><li><p><span class=""fontstyle2"">If a Symbolist dies, each </span><span class=""fontstyle0""><strong>symbol </strong></span><span class=""fontstyle2"">they created is immediately and automatically destroyed.</span></p></li><li><p><span class=""fontstyle2"">If a creature bearing a </span><span class=""fontstyle0""><strong>symbol </strong></span><span class=""fontstyle2"">dies, that </span><span class=""fontstyle0""><strong>symbol </strong></span><span class=""fontstyle2"">is also destroyed. </span>However, if the creature is an NPC that simply changes its form and statistics when reduced to 0 Hit Points, that does not remove the <strong>symbol</strong><span style=""font-family:var(--font-primary)"">: </span>in short, the symbol is “narratively” tied to that specific character, not to their current manifestation and parameters.</p></li><li><p><span class=""fontstyle2"">A Villain may, during a Game Master scene, spend 1 Ultima Point to destroy any number of </span><span class=""fontstyle0""><strong>symbols </strong></span><span class=""fontstyle2"">borne by themselves and by any of their allies that are present during that scene. </span>This is the <strong>only possible way to remove a symbol</strong> against the will of the Symbolist who created it, save for the use of an <strong>opportunity </strong>appropriate to the scene or an NPC Skill specifically created by the GM (but this should be done no more than two or three times per campaign).</p></li><li><p>A Symbolist may destroy any number of their <strong>symbols</strong> at any time, no action required.</p></li><li><p><span class=""fontstyle0"">If a </span><strong>symbol </strong><span class=""fontstyle0"">requires you to make a choice when it is created, that choice applies to all copies of the </span><strong>symbol </strong><span class=""fontstyle0"">created with that action (but does not affect any copies of that </span><strong>symbol </strong><span class=""fontstyle0"">created through previous actions).</span> </p></li></ul><blockquote><p><span class=""fontstyle2""><em>For instance, if a Symbolist applies two </em></span><span class=""fontstyle0""><em><strong>symbols of weakness (fire)</strong> </em></span><span class=""fontstyle2""><em>through the </em></span><span class=""fontstyle0""><em>@UUID[Compendium.projectfu.skills.Item.Twj3wpoMzSpUE3Go]{Symbolism}<strong> </strong></em></span><span class=""fontstyle2""><em>Skill, combining it with an attack with the </em></span><span class=""fontstyle0""><em><strong>multi (2)</strong> </em></span><span class=""fontstyle2""><em>property, the creatures who receive those </em></span><span class=""fontstyle0""><em><strong>symbols </strong></em></span><span class=""fontstyle2""><em>will suffer extra damage from </em></span><span class=""fontstyle0""><em><strong>fire</strong></em></span><span class=""fontstyle2""><em>. If shortly afterwards the Symbolist applies a </em></span><span class=""fontstyle0""><em><strong>symbol of weakness (bolt)</strong> </em></span><span class=""fontstyle2""><em>on a third creature, the two previous creatures will still receive extra damage from </em></span><span class=""fontstyle0""><em><strong>fire</strong></em></span><span class=""fontstyle2""><em>, not </em></span><span class=""fontstyle0""><em><strong>bolt</strong></em></span><span class=""fontstyle2""><em>.</em></span></p></blockquote><p><span class=""fontstyle2"">Remember that the maximum number of </span><span class=""fontstyle0""><strong>symbols </strong></span><span class=""fontstyle2"">you may have active at the same time is based on your Skill Level in </span><span class=""fontstyle0""><strong>Symbolism</strong></span><span class=""fontstyle2"">.</span></p><h3>ALL SYMBOLS</h3><p>@UUID[Compendium.projectfu.skills.Item.v1HYJJsqOzPWrYv8]{[Handout: Symbol List]}</p>",
[Handout: Therioform List],
[Handout: Therioform Rules],
[Handout: Tone List],
"<table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>CALM TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.XCtijox9eBrBNSno]{Calm Tone}</p></td></tr></tbody></table><p>Each target recovers <strong>【key recovery】</strong> equal to <strong>【10 + twice your current Willpower die size】</strong>. This amount increases by 10 if you are level <strong>20 or higher</strong>, or by 20 if you are level 40 or higher.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>ENERGETIC TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.XvkMOHPXUg0ikDkf]{Energetic Tone}</p></td></tr></tbody></table><p>Until the start of your next turn, when a target succeeds on a Check that includes <strong>【key Attribute】</strong> and that Check allows them to advance or turn back a Clock, they may fill or erase an additional section of that Clock.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>FRANTIC TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.mtKts9zjHlweSVk4]{Frantic Tone}</p></td></tr></tbody></table><p>Each target suffers <strong>【key type】</strong> damage equal to <strong>twice</strong> your current <strong>Willpower</strong> die size. This tone deals 10 extra damage if you are level 20 or higher, or 20 extra damage if you are level 40 or higher.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>HAUNTING TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.CynydNkxJS1HZVlJ]{Haunting Tune}</p></td></tr></tbody></table><p>Each target suffers <strong>【key status effect】</strong>. Each target also loses Resistance to <strong>【key type】</strong> damage (if they have it) until the start of your next turn.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>LIVELY TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.zLxqETSi6zbRkWKu]{Lively Tone}</p></td></tr></tbody></table><p>Each target treats their <strong>【key Attribute】</strong> as being one die size higher (up to a maximum of <strong>【d12】</strong>) until the start of your next turn.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>MENACING TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.8QMh3jUtgmIMy9Jb]{Menacing Tone}</p></td></tr></tbody></table><p>The first time each target suffers damage before the start of your next turn, that damage becomes <strong>【key type】</strong>. This can trigger once for each target of the verse, separately.</p><table style=""width:100%;height:34px;border:1px solid black""><tbody><tr style=""height:17px""><td style=""height:17px""><p><strong>SOLEMN TONE</strong></p></td></tr><tr style=""height:17px""><td style=""height:17px""><p>@UUID[Compendium.projectfu.skills.Item.yidpNKJQMA7dSBsc]{Solemn Tone}</p></td></tr></tbody></table><p>Each target recovers from <strong>【key status effect】</strong>. Each target also gains Resistance to <strong>【key type】</strong> damage until the start of your next turn.</p>",
[Handout: Vehicle Rules],
"<p>A Pilot's <strong>personal vehicle</strong> follows a set of special rules.</p><ul><li><p><span class=""fontstyle2"">Entering </span><span class=""fontstyle3"">the </span><span class=""fontstyle2""><strong>personal vehicle</strong> </span><span class=""fontstyle3"">during a conflict requires the </span><span class=""fontstyle2""><strong>Objective</strong> </span><span class=""fontstyle3"">action.<br />Normally there is no Check required, but the Game Master may introduce a </span><span class=""fontstyle2""><strong>Clock</strong> </span><span class=""fontstyle3"">if there are serious dangers or obstacles. If the </span><span class=""fontstyle2""><strong>personal vehicle</strong> </span><span class=""fontstyle3"">is accessible when the conflict begins, characters may </span><span class=""fontstyle2""><strong>enter it immediately</strong> </span><span class=""fontstyle3"">before the Initiative Check (see </span><span class=""fontstyle2""><strong>Core Rulebook</strong></span><span class=""fontstyle3"">, page </span><span class=""fontstyle2""><strong>59</strong></span><span class=""fontstyle3"">).</span></p></li><li><p><span class=""fontstyle2""><strong>Leaving</strong> </span><span class=""fontstyle3"">the </span><span class=""fontstyle2""><strong>personal vehicle</strong> </span><span class=""fontstyle3"">doesn’t require an action, but during a conflict it can only be done on your turn, </span><span class=""fontstyle2""><strong>before or after</strong> </span><span class=""fontstyle3"">an action.</span></p></li><li><p><span class=""fontstyle3"">The </span><span class=""fontstyle2""><strong>personal vehicle</strong> </span><span class=""fontstyle3"">can contain a variable number of human-sized creatures depending on its </span><span class=""fontstyle2""><strong>frame</strong> </span><span class=""fontstyle3"">and </span><span class=""fontstyle2""><strong>modules</strong></span><span class=""fontstyle3"">, but </span><span class=""fontstyle2""><strong>only its Pilot may drive it</strong></span><span class=""fontstyle3"">. Additionally, the other passengers </span><span class=""fontstyle2""><strong>cannot cover creatures</strong> </span><span class=""fontstyle3"">when they perform the </span><span class=""fontstyle2""><strong>Guard</strong> </span><span class=""fontstyle3"">action.</span></p></li><li><p><span class=""fontstyle3"">The </span><span class=""fontstyle2""><strong>maximum number of modules enabled at the same time</strong> </span><span class=""fontstyle3"">on a </span><span class=""fontstyle2""><strong>personal vehicle </strong></span><span class=""fontstyle3"">is equal to </span><span class=""fontstyle4""><strong>【</strong></span><span class=""fontstyle2""><strong>3 + its Pilot’s SL in Personal Vehicle</strong></span><span class=""fontstyle4""><strong>】</strong> </span><span class=""fontstyle3"">. The Pilot may freely reassign their personal vehicle’s enabled and disabled modules outside conflicts.</span></p></li></ul><p><span class=""fontstyle0"">A </span><span class=""fontstyle2"">personal vehicle </span><span class=""fontstyle0"">is made of the following elements:</span></p><ul><li><p><span class=""fontstyle0"">A </span><span class=""fontstyle2"">frame </span><span class=""fontstyle0"">that informs its general shape: </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.vehicle-modules.Item.f3h3SoN0g7i31Kj9]{Steed} </span><span class=""fontstyle0"">for riding animals, bikes, small fighters, skateboards and the likes; </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.vehicle-modules.Item.WG1xG12wMYh2ROoP]{Exoskeleton} </span><span class=""fontstyle0"">for power armor and mechanical limbs; </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.vehicle-modules.Item.2AYyeXm0V4Fu1x6G]{Mecha} </span><span class=""fontstyle0"">for large combat robots piloted from within. Each Pilot must pick the </span><span class=""fontstyle2""><strong>frame</strong> </span><span class=""fontstyle0"">for their </span><span class=""fontstyle2""><strong>personal vehicle</strong> </span><span class=""fontstyle0"">when they obtain the Skill. This remains unchanged for the rest of the game, so make sure to choose carefully based on your character’s style and personality, and consider the role they will have in the campaign. For instance, choosing a fighter plane doesn’t make much sense if your story takes place in the slums of a cyberpunk megalopolis (how about an anti-gravity bike instead?).</span></p></li><li><p><span class=""fontstyle0"">A variable number of </span><span class=""fontstyle2""><strong>weapon modules</strong></span><span class=""fontstyle0""><strong>, </strong></span><span class=""fontstyle2""><strong>armor modules</strong></span><span class=""fontstyle0""><strong>, </strong>and </span><span class=""fontstyle2""><strong>support modules</strong> </span><span class=""fontstyle0"">that can be connected to the </span><span class=""fontstyle2""><strong>personal vehicle</strong></span><span class=""fontstyle0"">’s control systems (enabled) or kept inactive but still attached to the frame (disabled). Some options, such as the </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.skills.Item.BuqR9EZDFMn5lDGG]{Flexible Configuration} </span><span class=""fontstyle0"">Skill and the </span><span class=""fontstyle2"">@UUID[Compendium.projectfu.vehicle-modules.Item.7qyCrf1eK0X6bYTH]{Secondary Offensive}</span><span class=""fontstyle0"">, may allow you to quickly enable and disable modules, or to briefly activate a disabled module.</span></p></li></ul><p><span class=""fontstyle0"">The upcoming pages contain a detailed explanation of the various module types and the rules governing them, followed by lists of standard </span><span class=""fontstyle2""><strong>frames</strong> </span><span class=""fontstyle0"">and </span><span class=""fontstyle2""><strong>modules</strong></span><span class=""fontstyle0"">.</span></p>",
[Handout: Verses Rules],
"<h3>SINGING A VERSE</h3><p>When you sing a <strong>verse</strong>, you combine a <strong>volume</strong>, a <strong>key </strong>and a <strong>tone </strong>you learned. These three aspects determine the <strong>verse</strong>’s MP cost, targets and effect.</p><p>The <strong>volume </strong>determines the sound intensity of your <strong>verse </strong>(and the creatures you can reach with it).</p><ul><li>Each <strong>tone </strong>determines the general effects of your <strong>verse</strong>. To find the full list of Tones please refer to the these lists of @UUID[Compendium.projectfu.skills.Item.c8jU0AIm1nOBRQaX]{[Handout: Key List]} and @UUID[Compendium.projectfu.skills.Item.dzv1DzQ6N3FKATek]{[Handout: Tone List]}.</li><li>Each key has an associated damage type, status effect, Attribute, and recovery. These modify the effects determined by the tone of your verse.</li></ul><blockquote><p><em><strong>Example:</strong> you might combine a <strong>low volume </strong>with the <strong>key of Flame </strong>and a <strong>haunting tone </strong>to inflict <strong>shaken </strong>on a single creature for 10 Mind Points, or you could combine a <strong>medium volume </strong>with the <strong>key of Iron </strong>and an <strong>energetic tone </strong>to allow your allies to make additional progress on Clocks when using <strong>Willpower</strong>.</em></p></blockquote><p></p><table style=""width:96.8701%;height:68px;border:1px solid black""><colgroup><col style=""width:12.2257%""></col><col style=""width:4.85893%""></col><col style=""width:82.9154%""></col></colgroup><tbody><tr style=""height:17px""><td style=""height:17px""><strong>Volume</strong></td><td style=""text-align:center;height:17px""><strong>MP</strong></td><td style=""height:17px""> <strong>Targets</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Low</strong></td><td style=""text-align:center;height:17px""><strong>10</strong></td><td style=""height:17px""> <span class=""fontstyle0"">Yourself </span><span class=""fontstyle2"">or </span><span class=""fontstyle0"">another creature you can see who can hear you.</span> </td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Medium</strong></td><td style=""text-align:center;height:17px""><strong>20</strong></td><td style=""height:17px""> <span class=""fontstyle0"">Every ally who can hear you.</span> </td></tr><tr style=""height:17px""><td style=""height:17px""><strong>High</strong></td><td style=""text-align:center;height:17px""><strong>30</strong></td><td style=""height:17px""> <span class=""fontstyle0"">Every enemy who can hear you.</span> </td></tr></tbody></table><p> </p><table style=""width:96.5571%;height:153px;border:1px solid black""><colgroup><col style=""width:14.4231%""></col><col style=""width:16.8269%""></col><col style=""width:21.7949%""></col><col style=""width:21.9551%""></col><col style=""width:25.1603%""></col></colgroup><tbody><tr style=""height:17px""><td style=""height:17px""><strong>Key</strong></td><td style=""height:17px;text-align:center""><strong>Type</strong></td><td style=""height:17px;text-align:center""><strong>Status Effect</strong></td><td style=""height:17px;text-align:center""><strong>Attribute</strong></td><td style=""height:17px;text-align:center""><strong>Recovery</strong></td></tr><tr style=""height:17px""><td style=""height:17px;text-align:left""><strong>Flame</strong></td><td style=""height:17px;text-align:center""><span class=""fontstyle0""><strong>Fire</strong> @ICON[fire]</span></td><td style=""height:17px;text-align:center""><strong>Shaken</strong> </td><td style=""height:17px;text-align:center""><strong>Might</strong></td><td style=""height:17px;text-align:center""><strong>Hit Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Frost</strong></td><td style=""height:17px;text-align:center""><span class=""fontstyle0""><strong>Ice</strong> @ICON[ice]</span></td><td style=""height:17px;text-align:center""><strong>Weak</strong></td><td style=""height:17px;text-align:center""><strong>Willpower</strong></td><td style=""height:17px;text-align:center""><strong>Mind Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Iron</strong></td><td style=""height:17px;text-align:center""><span class=""fontstyle0""><strong>Physical</strong> @ICON[physical]</span></td><td style=""height:17px;text-align:center""><strong>Slow</strong></td><td style=""height:17px;text-align:center""><strong>Willpower</strong></td><td style=""height:17px;text-align:center""><strong>Mind Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Radiance</strong></td><td style=""height:17px;text-align:center""><strong>Light</strong> @ICON[light]</td><td style=""height:17px;text-align:center""><strong>Dazed</strong></td><td style=""height:17px;text-align:center""><strong>Insight</strong></td><td style=""height:17px;text-align:center""><strong>Hit Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Shadow</strong></td><td style=""height:17px;text-align:center""><strong>Dark</strong> @ICON[dark]</td><td style=""height:17px;text-align:center""><strong>Weak</strong></td><td style=""height:17px;text-align:center""><strong>Dexterity</strong></td><td style=""height:17px;text-align:center""><strong>Mind Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Stone</strong></td><td style=""height:17px;text-align:center""><strong>Earth</strong> @ICON[earth]</td><td style=""height:17px;text-align:center""><strong>Dazed</strong></td><td style=""height:17px;text-align:center""><strong>Might</strong></td><td style=""height:17px;text-align:center""><strong>Hit Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Thunder</strong></td><td style=""height:17px;text-align:center""><strong>Bolt</strong> @ICON[bolt]</td><td style=""height:17px;text-align:center""><strong>Shaken</strong></td><td style=""height:17px;text-align:center""><strong>Dexterity</strong></td><td style=""height:17px;text-align:center""><strong>Hit Points</strong></td></tr><tr style=""height:17px""><td style=""height:17px""><strong>Wind</strong></td><td style=""height:17px;text-align:center""><strong>Air</strong> @ICON[air]</td><td style=""height:17px;text-align:center""><strong>Slow</strong></td><td style=""height:17px;text-align:center""><strong>Insight</strong></td><td style=""height:17px;text-align:center""><strong>Mind Points</strong></td></tr></tbody></table>",
[Handout: Weapon Modules],
Brainwave Clock,
"<ul><li><p>For <strong>gift</strong> breakdown and a list of Psychic Gifts, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.mcjpTrTkosKxoyCc]{Psychic Gift Rules}</p></li></ul>",
Magitech Override,
"<p><strong>Required:</strong> Basic Benefits in @UUID[Compendium.projectfu.skills.Item.EmwWSYlFjlUSGPLL]{Gadget- Magitech}</p><p>You may use an action and spend 10 Mind Points to perform an Opposed <strong>【INS + INS】 </strong>Check against a nearby <strong>soldier</strong>-rank <strong>construct </strong>you can see (the Game Master must tell you who is a valid target). If you succeed, you gain control of the creature until the end of the scene (the Game Master gives you its profile). You may only control <strong>one construct at any given time</strong>, but may set it free whenever you want; the <strong>construct </strong>is also set free as soon as it is harmed by you or by one of your allies. Once free, the <strong>construct</strong> is again in control of its actions and might turn against you. </p><p></p>",
Absorb MP,
"<p>After you suffer damage, you may immediately recover <strong>【SL × 2】 </strong>Mind Points.</p><hr /><ul><li><p><strong>You Recover: </strong>@GAIN[2*$sl mp]{SL × 2 MP}</p></li></ul>",
Adrenaline,
"<p>As long as you are in <strong>Crisis</strong>, you deal <strong>【SL × 2】</strong> extra damage (be it with attacks, spells, Arcana, items or any other method).</p>",
"<p><span style=""font-family:'PT Sans Narrow', sans-serif"">As long as you are in <strong style=""box-sizing:border-box;user-select:text;margin:0px;padding:0px;color:rgb(25, 24, 19);font-family:'PT Sans Narrow', sans-serif;font-size:16px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;white-space:normal;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">Crisis</strong>, you deal<strong style=""box-sizing:border-box;user-select:text;margin:0px;padding:0px;color:rgb(25, 24, 19);font-family:'PT Sans Narrow', sans-serif;font-size:16px;font-style:normal;font-variant-ligatures:normal;font-variant-caps:normal;letter-spacing:normal;orphans:2;text-align:start;text-indent:0px;text-transform:none;white-space:normal;widows:2;word-spacing:0px;-webkit-text-stroke-width:0px;text-decoration-thickness:initial;text-decoration-style:initial;text-decoration-color:initial"">【SL × 2</strong><strong style=""box-sizing:border-box;user-select:text;margin:0px;padding:0px"">】</strong>extra damage (be it with attacks, spells, Arcana, items or any other method). </span></p>",
Agony,
"<p>After you deal damage to one or more creatures, if you have a <strong>Bond</strong> towards at least one of those creatures, you may recover <strong>【SL × 2】</strong> Hit Points and <strong>【SL × 2】</strong> Mind Points.</p><hr /><ul><li><p><strong>You Recover: </strong>@GAIN[$sl*2 hp]{SL × 2 HP}, and @GAIN[$sl*2 mp]{SL × 2 MP}</p></li></ul>",
Akromorphosis,
"<p>Your <strong>unarmed strikes</strong> deal <strong>【6 + (SL × 2)】</strong> extra damage, and you gain a bonus equal to <strong>【SL】</strong> to your Accuracy Checks with them.</p><p>At the start of your turn during a conflict, you may choose a weapon Category other than <strong>brawling</strong>. If you do, your <strong>unarmed strikes</strong> now belong to the chosen Category; if you choose <strong>bow</strong>, <strong>firearm</strong> or <strong>thrown</strong>, they become <strong>ranged</strong> weapons instead of <strong>melee</strong>; if you choose <strong>dagger</strong> or <strong>sword</strong>, they cannot be used with <strong>Triple Slash</strong> (see <strong>High Fantasy Atlas</strong>, page <strong>161</strong>). These changes last until the start of your next turn.</p><hr /><ul><li><p>To <strong>automate, </strong>add @UUID[Compendium.projectfu.skills.XlN2TtdK4Sn4ssQS]{Unarmed Strike: Mutant} to your character sheet to automate the bonuses.</p></li></ul>",
Arcane Circle,
"<p>After you willingly <strong>dismiss</strong> an Arcanum on your turn during a conflict (see <strong>Core Rulebook</strong>, page <strong>178</strong>), if that Arcanum had not been <strong>summoned</strong> during this same turn and you have an <strong>arcane</strong> weapon equipped, you may immediately perform the <strong>Spell</strong> action for free. The spell you cast this way must have a <strong>total Mind Point cost of 【SL × 5】 or lower</strong> (you must still pay the spell's MP cost).</p>",
Arcane Regeneration,
"<p>When you summon an Arcanum, you immediately recover <strong>【SL × 5】</strong> Hit Points.</p><hr /><ul><li><p><strong>You Recover:</strong> @GAIN[&amp;sl(""arcane-regeneration"")*5 hp]{SL × 5 HP}</p></li></ul>",
Barrage,
"<p>When you perform a <strong>ranged</strong> attack, you may spend 10 Mind Points to choose one option: the attack gains <strong>multi (2)</strong>; <strong>or</strong> you increase the attack's <strong>multi</strong> property by one, up to a maximum of <strong>multi (3)</strong>.</p>",
Battle Gardening,
"<p><span>After you </span><strong>plant a magiseed</strong><span> through the </span><strong>Chloromancy</strong><span> Skill (not when using <strong>Graft</strong>), you may choose one option: you perform a <strong>free attack</strong> with an equipped weapon; <strong>or</strong> perform the <strong>Spell</strong> action for free, casting a spell with a <strong>total Mind Point cost equal to or lower than【5 + (SL × 5)】</strong>(you must still pay its MP cost). Treat the <strong>High Roll (HR)</strong> of your Accuracy Check or Magic Check as being equal to 0 when determining damage dealt by this attack or spell.</span></p>",
Beyond The Realms Of Death,
"<p>When another creature you can see loses Hit Points while in Crisis, if they are not undead, you gain <strong>1 Grave Point</strong>. You may never have more than <strong>【SL + 1】 </strong>Grave Points.</p><p>When you are reduced to 0 Hit Points, you <strong>lose all Grave Points</strong>; then, if you lost at least 1 Grave Point this way and this is the <strong>first time</strong> you are reduced to 0 HP during this scene, you do not <strong>Surrender</strong> nor <strong>Sacrifice</strong> yourself: instead, you recover an amount of HP equal to <strong>【SL, multiplied by the amount of Grave Points you lost this way】</strong> .</p><hr /><ul><li><p><strong>You Recover:</strong> @GAIN[(@item.level.value)+(@item.rp.current) hp]{SL × Lost Grave Points HP}</p></li></ul>",
Grave Points,
Bind and Summon,
"<p>You may <strong>bind</strong> Arcana to your soul and <strong>summon</strong> them later. The Game Master will tell you the details of each binding process when you first encounter the Arcanum in question.</p><p>You may use an action and spend 40 Mind Points to <strong>summon</strong> an Arcanum you have bound: the details of this process are explained on the next page.</p><p>If you take this Skill at character creation, you begin play with one Arcanum of your choice already bound to you, chosen from the list on the next pages. Other than that, you may only obtain new Arcana through exploration and story progression.</p><hr /><ul><li><p>For <strong>arcana</strong> breakdown and a list of Arcanums, refer to: @UUID[Compendium.projectfu.handouts.JournalEntry.sO33zynz6ZsBDpFR]{Arcana Rules}</p></li></ul><p></p>",
Biophagy,
"<p>After one of your attacks or offensive spells ( @ICON[offensive] ) causes one or more enemies to lose Hit Points, if you are in <strong>Crisis</strong>, you may recover <strong>【SL × 5】</strong> Hit Points.</p><hr /><ul><li><p><strong>You Recover: </strong>@GAIN[$sl*5 hp]{SL × 5 HP}</p></li></ul>",
"<div class=""stackedit__html""><p><span class=""fontstyle0"">After one of your attacks or offensive spells (</span><span class=""fontstyle2"">@ICON[offensive]</span><span class=""fontstyle0"">) causes one or more enemies to lose Hit Points, if you are in </span><span class=""fontstyle3""><strong>Crisis</strong></span><span class=""fontstyle0"">, you may recover</span><span class=""fontstyle4""><strong>【</strong></span><span class=""fontstyle3""><strong>SL × 5</strong></span><span class=""fontstyle4""><strong>】</strong></span><span class=""fontstyle0"">Hit Points.</span></p></div>",
Bishop's Edict,
"<p>During a conflict, you may use an action and spend 10 Mind Points to choose one option: all MP costs are doubled; <strong>or</strong> all sources of damage deal <strong>【SL × 3】</strong> extra damage.</p><p>The chosen effect lasts until the start of your next turn.</p><hr /><ul><li><p><strong>Targets Suffers:</strong> @EFFECT[Compendium.projectfu.skills.Item.uxc0tTLb3If2Denp]{Effect: Bishop's Edict (Extra Damage)}</p></li></ul>",
Bladestorm,
"<p>When you perform a <strong>melee</strong> attack, you may spend 10 Mind Points to choose one option: the attack gains <strong>multi (2)</strong>; <strong>or</strong> you increase the attack's <strong>multi</strong> property by one, up to a maximum of <strong>multi (3)</strong>.</p>",
Bodyguard,
"<p>If you perform the <strong>Guard</strong> action and choose to provide cover to another creature, that creature gains Resistance to all damage types until the start of your next turn.</p><hr /><ul><li><p><strong>Target Receive:</strong> @EFFECT[cover] + @TYPE[affinity all resistance e:sot i:1 t:source]</p></li></ul>",
Bone Crusher,
"<p>When you hit one or more targets with a <strong>melee</strong> attack that would deal damage, you may have the attack deal no damage. If you do, choose one option: inflict <strong>dazed </strong>on each target hit by the attack; <strong>or</strong> inflict <strong>weak</strong> on each target hit by the attack; <strong>or</strong> each target hit by the attack loses <strong>【SL × 10】</strong> Mind Points. Describe your maneuver!</p><hr /><ul><li><p><strong>Target Suffers: </strong>@EFFECT[dazed], @EFFECT[weak], or @LOSS[$sl*10 mp]{SL × 10 MP}</p></li></ul>",
"<p>You may use an action and spend 5 Mind Points to perform a <strong>free attack</strong> with a <strong>melee</strong> weapon you have equipped. This attack must target a <strong>single creature</strong>. If the attack is successful, it deals no damage and you choose one option: you destroy one shield equipped by the target; <strong>or</strong> you destroy the target's equipped armor; <strong>or</strong> whenever the target suffers damage from a source before the start of your next turn, that source deals <strong>【SL × 2】</strong> extra damage to them.</p><hr><ul><li><p><strong>Target Suffers</strong>: @EFFECT[Compendium.projectfu.skills.Cc1391vhlS1yIMrI]</p></li></ul>",
Cataclysm,
"<p>When you cast an <strong>instantaneous</strong> spell, if you have an <strong>arcane</strong> weapon equipped, you may increase the spell's total MP cost by up to <strong>【SL × 10】</strong> Mind Points. If you do so and the spell deals damage to one or more creatures, it will deal 5 extra damage to each creature for every 10 Mind Points by which you increased its total MP cost.</p>",
Charging Cavalry,
"<p>During a conflict, you may use an action and spend 10 Mind Points to choose one ally that can hear you. That ally may immediately perform a <strong>free attack</strong> with a weapon they have equipped (or with a <strong>basic attack</strong> if they are an NPC). They gain a bonus equal to <strong>【SL】</strong> to the Accuracy Check, but treat their <strong>High Roll (HR)</strong> as 0 when calculating damage.</p>",
Cheap Shot,
"<p>When you hit a creature with an attack, if the attack <strong>only</strong> targeted that creature and they are suffering from <strong>one or more status effects</strong>, you may have it deal extra damage equal to <strong>【SL + the number of status effects on the creature】</strong>.</p>",
Children Of The Grave,
"<p>You can always communicate verbally with <strong>undead</strong> creatures. Once per scene, you may ask an <strong>undead</strong> a single question; they are compelled to answer truthfully.</p>",
Chloromancy,
